ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret
1785576833.873329480,0,0,0,0,0,0,0,0,0,0,0,0,420085840,379329290,0,0,0,0,0,0,0,0,0
1785576834.895650656,0,0,0,0,0,0,0,0,0,0,0,0,420088906,379332329,0,0,0,0,0,0,0,0,0
1785576835.916867403,0,0,0,0,0,0,0,0,0,0,0,0,420091969,379335373,0,0,0,0,0,0,0,0,0
1785576836.938447573,0,0,0,0,0,0,0,0,0,0,0,0,420095030,379338357,0,0,0,0,0,0,0,0,0
1785576837.960204392,0,0,0,0,0,0,0,0,0,0,0,0,420098092,379341384,0,0,0,0,0,0,0,0,0
1785576838.982017062,0,0,0,0,0,0,0,0,0,0,0,0,420101156,379344432,0,0,0,0,0,0,0,0,0
1785576840.003973190,0,0,0,0,0,0,0,0,0,0,0,0,420104222,379347415,0,0,0,0,0,0,0,0,0
1785576841.026222189,0,0,0,0,0,0,0,0,0,0,0,0,420107289,379350466,0,0,0,0,0,0,0,0,0
1785576842.047479386,0,0,0,0,0,0,0,0,0,0,0,0,420110352,379353495,0,0,0,0,0,0,0,0,0
1785576843.069424524,0,0,0,0,0,0,0,0,0,0,0,0,420113415,379356498,0,0,0,0,0,0,0,0,0
1785576844.091703634,0,0,0,0,0,0,0,0,0,0,0,0,420116480,379359549,0,0,0,0,0,0,0,0,0
1785576845.113112289,0,0,0,0,0,0,0,0,0,0,0,0,420119544,379362580,0,0,0,0,0,0,0,0,0
1785576846.135676718,0,0,0,0,0,0,0,0,0,0,0,0,420122611,379365578,0,0,0,0,0,0,0,0,0
1785576847.157913084,0,0,0,0,0,0,0,0,0,0,0,0,420125677,379368630,0,0,0,0,0,0,0,0,0
1785576848.178011075,0,0,0,0,0,0,0,0,0,0,0,0,420128740,379371610,0,0,0,0,0,0,0,0,0
1785576849.199827285,0,0,0,0,0,0,0,0,0,0,0,0,420131802,379374577,0,0,0,0,0,0,0,0,0
1785576850.221355694,0,0,0,0,0,0,0,0,0,0,0,0,420134865,379377625,0,0,0,0,0,0,0,0,0
1785576851.242783834,0,0,0,0,0,0,0,0,0,0,0,0,420137929,379380643,0,0,0,0,0,0,0,0,0
1785576852.264927076,0,0,0,0,0,0,0,0,0,0,0,0,420140994,379383656,0,0,0,0,0,0,0,0,0
1785576853.286833504,0,0,0,0,0,0,0,0,0,0,0,0,420144060,379386706,0,0,0,0,0,0,0,0,0
1785576854.307259589,0,0,0,0,0,0,0,0,0,0,0,0,420147120,379389722,0,0,0,0,0,0,0,0,0
1785576855.328752499,0,0,0,0,0,0,0,0,0,0,0,0,420150184,379392730,0,0,0,0,0,0,0,0,0
1785576856.351176743,0,0,0,0,0,0,0,0,0,0,0,0,420153249,379395781,0,0,0,0,0,0,0,0,0
1785576857.372028598,0,0,0,0,0,0,0,0,0,0,0,0,420156310,379398775,0,0,0,0,0,0,0,0,0
1785576858.394565817,0,0,0,0,0,0,0,0,0,0,0,0,420159378,379401810,0,0,0,0,0,0,0,0,0
1785576859.416712708,0,0,0,0,0,0,0,0,0,0,0,0,420162444,379404835,0,0,0,0,0,0,0,0,0
1785576860.437544052,0,0,0,0,0,0,0,0,0,0,0,0,420165504,379407831,0,0,0,0,0,0,0,0,0
1785576861.459897613,0,0,0,0,0,0,0,0,0,0,0,0,420168570,379410862,0,0,0,0,0,0,0,0,0
1785576862.482187912,0,0,0,0,0,0,0,0,0,0,0,0,420171635,379413913,0,0,0,0,0,0,0,0,0
1785576863.503938618,0,0,0,0,0,0,0,0,0,0,0,0,420174699,379416891,0,0,0,0,0,0,0,0,0
1785576864.525993662,0,0,0,0,0,0,0,0,0,0,0,0,420177763,379419941,0,0,0,0,0,0,0,0,0
1785576865.548124815,0,0,0,0,0,0,0,0,0,0,0,0,420180828,379422990,0,0,0,0,0,0,0,0,0
1785576866.569279525,0,0,0,0,0,0,0,0,0,0,0,0,420183890,379425967,0,0,0,0,0,0,0,0,0
1785576867.590670478,0,0,0,0,0,0,0,0,0,0,0,0,420186951,379429014,0,0,0,0,0,0,0,0,0
