cell	start_utc	end_utc	pipe	ratio	dur	ops_M	avg	p50	p99	p999
SF3-E2x512-MIX	2026-08-06T09:44:05Z	2026-08-06T09:47:05Z	512	1:9	180	10.455	2.89295	2.71900	5.43900	9.15100
SF3-E2x512-SET	2026-08-06T09:47:32Z	2026-08-06T09:50:32Z	512	1:0	180	5.763	5.27196	5.66300	7.74300	12.09500
SF3-E4x256-GET	2026-08-06T09:51:00Z	2026-08-06T09:54:00Z	256	0:1	180	12.512	2.40910	2.31900	4.28700	7.48700
SF3-E4x256-MIX	2026-08-06T09:54:27Z	2026-08-06T09:57:27Z	256	1:9	180	10.491	2.88858	2.78300	4.99100	8.38300
SF3-E4x256-SET	2026-08-06T09:57:54Z	2026-08-06T10:00:54Z	256	1:0	180	5.596	5.43024	4.38300	9.34300	13.88700
SF3-E8x128-GET	2026-08-06T10:01:22Z	2026-08-06T10:04:22Z	128	0:1	180	11.587	2.60557	2.30300	4.99100	8.25500
SF3-E8x128-MIX	2026-08-06T10:04:49Z	2026-08-06T10:07:49Z	128	1:9	180	9.772	3.08792	2.78300	5.59900	9.08700
SF3-E8x128-SET	2026-08-06T10:08:17Z	2026-08-06T10:11:17Z	128	1:0	180	5.632	5.41224	5.72700	9.08700	13.63100
SF3-E16x64-GET	2026-08-06T10:11:44Z	2026-08-06T10:14:44Z	64	0:1	180	9.464	3.22059	2.89500	6.59100	10.36700
SF3-E16x64-MIX	2026-08-06T10:15:12Z	2026-08-06T10:18:12Z	64	1:9	180	8.295	3.66689	3.27900	7.10300	10.62300
SF3-E16x64-SET	2026-08-06T10:18:39Z	2026-08-06T10:21:40Z	64	1:0	180	5.235	5.84528	4.95900	11.00700	15.35900
SF3-E32x32-GET	2026-08-06T10:22:07Z	2026-08-06T10:25:07Z	32	0:1	180	8.525	3.57299	3.08700	7.29500	11.90300
SF3-E32x32-MIX	2026-08-06T10:25:35Z	2026-08-06T10:28:35Z	32	1:9	180	7.570	4.03071	3.48700	7.99900	12.03100
SF3-E32x32-SET	2026-08-06T10:29:02Z	2026-08-06T10:32:02Z	32	1:0	180	5.053	6.06708	5.15100	11.07100	15.48700
SF3-E64x16-GET	2026-08-06T10:32:30Z	2026-08-06T10:35:30Z	16	0:1	180	6.182	4.95290	4.67100	10.55900	15.35900
SF3-E64x16-MIX	2026-08-06T10:35:58Z	2026-08-06T10:38:58Z	16	1:9	180	5.757	5.31573	4.95900	11.19900	15.74300
SF3-E64x16-SET	2026-08-06T10:39:25Z	2026-08-06T10:42:26Z	16	1:0	180	4.349	7.05600	6.43100	14.27100	18.43100
SF3-E128x8-GET	2026-08-06T10:42:53Z	2026-08-06T10:45:55Z	8	0:1	180	4.500	6.81188	6.30300	15.80700	26.11100
SF3-E128x8-MIX	2026-08-06T10:46:22Z	2026-08-06T10:49:24Z	8	1:9	180	4.205	7.29182	6.75100	16.31900	24.06300
SF3-E128x8-SET	2026-08-06T10:49:52Z	2026-08-06T10:52:53Z	8	1:0	180	3.441	8.92109	8.44700	18.94300	27.00700
SF3-D8-GET	2026-08-06T11:25:41Z	2026-08-06T11:28:41Z	256	0:1	180	13.609	2.14251	1.99900	3.95100	7.29500
SF3-D8-MIX	2026-08-06T11:29:09Z	2026-08-06T11:32:10Z	256	1:9	180	11.188	2.64517	2.54300	4.57500	7.80700
SF3-D8-SET	2026-08-06T11:32:37Z	2026-08-06T11:35:37Z	256	1:0	180	6.029	5.01331	5.02300	7.48700	11.64700
SF3-D16-GET	2026-08-06T11:36:17Z	2026-08-06T11:39:17Z	256	0:1	180	13.529	2.18829	2.09500	3.99900	7.10300
SF3-D16-MIX	2026-08-06T11:39:44Z	2026-08-06T11:42:44Z	256	1:9	180	11.053	2.70521	2.59100	5.02300	8.03100
SF3-D16-SET	2026-08-06T11:43:12Z	2026-08-06T11:46:12Z	256	1:0	180	5.988	5.04858	5.05500	7.90300	12.15900
SF3-D24-GET	2026-08-06T11:47:23Z	2026-08-06T11:50:23Z	256	0:1	180	13.204	2.25287	2.17500	3.98300	7.16700
SF3-D24-MIX	2026-08-06T11:50:50Z	2026-08-06T11:53:50Z	256	1:9	180	10.915	2.74577	2.65500	4.73500	8.06300
