label	seq	secs	Mops	get_s	set_s	busy	Gv3_avg	Gv3_p50	Gv3_p99	Gadmit	Gv2	Gxfer	Gcrypto	Gsync	Sv3_avg	Sv3_p50	Sv3_p99	Sadmit	Sv2	Sret	Sxfer	Scrypto	srv	srv_p50	srv_p99	que	bk	err5	badcrc	hit_pct
E4-C16R8	3	27.1	5.714	0	5713635	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.00	0.0	32.3	0.65	7.23	0.12	5.55	1.01	2279.66	2095.8	18446744073709552.0	429.31	1849.20	0	0	0.00
E4-C8R1	1	26.9	10.561	10560886	0	29.8	5.69	0.0	26.1	0.12	5.57	4.67	0.73	0.01	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	698.23	662.8	1380.0	153.16	544.46	0	0	100.00
E4-C8R1	2	26.8	9.375	8437574	937508	29.9	5.93	0.0	26.6	0.18	5.74	4.75	0.73	0.01	7.61	0.0	28.6	0.48	5.60	1.53	4.22	0.84	778.55	738.8	1543.6	178.64	599.18	0	1	100.00
E4-C8R1	3	27.1	5.709	0	5709476	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.01	0.0	32.0	0.66	7.24	0.11	5.56	1.01	2277.45	2099.5	18446744073709552.0	430.99	1845.28	0	0	0.00
E4-C8R2	1	27.9	11.532	11531834	0	29.7	8.52	0.0	38.2	0.76	7.77	6.40	0.73	0.02	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	593.60	562.2	1152.5	132.79	460.22	0	0	100.00
E4-C8R2	2	26.9	10.030	9026570	1002952	29.9	9.31	0.0	36.6	1.27	8.03	6.53	0.73	0.02	6.77	0.0	27.0	0.48	6.19	0.10	4.78	0.86	701.75	663.4	1368.3	161.39	539.64	0	0	100.00
E4-C8R2	3	27.1	5.739	0	5738640	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.96	0.0	32.1	0.64	7.20	0.11	5.53	1.01	2268.42	2080.4	18446744073709552.0	426.96	1840.31	0	0	0.00
E4-C8R4	1	27.9	12.428	12427759	0	29.7	12.05	0.0	48.3	1.98	10.07	8.13	0.69	0.02	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	537.91	513.4	1021.5	119.55	417.77	0	0	100.00
E4-C8R4	2	26.9	10.622	9559558	1062173	29.9	13.74	0.0	58.7	3.68	10.06	8.02	0.67	0.02	6.28	0.0	26.9	0.48	5.63	0.16	4.20	0.88	647.93	611.3	1264.9	151.30	495.92	0	1	100.00
E4-C8R4	3	27.1	5.700	0	5700077	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.99	0.0	32.0	0.65	7.23	0.11	5.56	1.00	2289.36	2111.2	18446744073709552.0	429.88	1858.32	0	0	0.00
E4-C8R12	1	27.9	13.075	13074754	0	29.8	26.61	0.0	106.5	3.77	22.84	18.41	0.57	0.05	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	512.00	490.7	956.1	108.67	402.72	0	0	100.00
E4-C8R12	2	26.9	10.732	9658380	1073154	29.9	19.90	0.0	103.2	7.19	12.71	9.87	0.62	0.03	8.84	0.0	32.8	0.52	7.35	0.96	5.88	0.92	637.38	602.3	1241.2	148.53	488.14	0	1	100.00
E4-C8R12	3	27.0	5.726	0	5725674	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.00	0.0	32.2	0.65	7.23	0.12	5.55	1.01	2267.67	2092.5	18446744073709552.0	429.33	1837.18	0	0	0.00
BD2-b	1	27.9	13.037	13036764	0	29.6	21.77	0.0	78.1	4.47	17.30	14.24	0.60	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	497.30	473.3	944.2	108.46	388.24	0	0	100.00
BD2-b	2	26.8	10.945	9850232	1094470	29.9	22.64	0.0	124.3	9.30	13.34	10.27	0.62	0.03	9.17	0.0	31.8	0.49	7.99	0.69	6.51	0.92	623.21	589.6	1196.3	144.48	478.02	0	1	100.00
BD2-b	3	57.8	0.576	575962	0	22.6	17.65	0.0	130.3	6.87	10.78	8.03	1.63	0.05	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	43.30	33.2	220.8	0.34	40.54	0	0	100.00
