cell	ops_M	avg_ms	p50_ms	p99_ms	p999_ms
R5-P8-C	3.351	0.27669	0.21500	1.07900	1.83900
R5-P8-B	3.350	0.27676	0.21500	1.07100	1.75100
R5-P8-A	3.025	0.31170	0.24700	1.20700	2.11100
R5-P32-C	7.404	0.49121	0.40700	1.72700	2.99100
R5-P32-B	7.144	0.51084	0.42300	1.79900	3.02300
R5-P32-A	5.769	0.64437	0.54300	2.12700	3.50300
R5-P64-C	9.666	0.75442	0.70300	2.39900	4.76700
R5-P64-B	9.093	0.80405	0.74300	2.60700	4.86300
R5-P64-A	7.526	0.98056	0.91100	3.23100	4.99100
R5-P128-C	12.359	1.20889	1.17500	2.27100	5.56700
R5-P128-B	11.474	1.30123	1.27900	2.31900	5.63100
R5-P128-A	7.921	1.89665	1.87900	3.24700	6.17500
R5-P256-C	12.739	2.36749	2.27100	4.22300	7.42300
R5-P256-B	11.949	2.52760	2.44700	4.41500	7.48700
R5-P256-A	7.622	3.97884	3.79100	9.53500	12.09500
R5-P384-C	12.724	3.57555	3.27900	6.39900	10.68700
R5-P384-B	11.646	3.91178	3.51900	7.45500	12.09500
R5-P384-A	7.585	6.02088	5.85500	14.65500	17.79100
R5-P512-C	12.287	4.95511	4.41500	9.27900	15.61500
R5-P512-B	5.181	11.81131	10.11100	35.83900	49.40700
R5-P512-A	7.434	8.20850	7.80700	17.15100	22.01500
R5-E1x1024-C	12.386	2.43648	2.33500	5.95100	8.70300
R5-E1x1024-B	11.473	2.63553	2.59100	5.82300	9.02300
R5-E1x1024-A	7.842	3.86644	3.61500	5.63100	8.44700
R5-E2x512-C	13.451	2.23773	2.14300	5.43900	7.87100
R5-E2x512-B	11.562	2.61360	2.44700	5.11900	8.89500
R5-E2x512-A	7.876	3.84863	3.88700	6.65500	10.30300
R5-E4x256-C	12.550	2.40146	2.30300	4.38300	7.32700
R5-E8x128-C	12.152	2.47146	2.17500	5.02300	8.83100
R5-E8x128-B	9.454	3.14470	2.94300	7.51900	10.68700
R5-E8x128-A	7.456	4.03969	3.88700	8.31900	11.58300
R6-OP-U-C	12.517	2.40804	2.28700	4.38300	7.39100
R6-OP-U-B	11.448	2.63208	2.52700	4.73500	7.90300
R6-OP-U-A	7.571	3.98154	3.79100	9.40700	12.15900
R6-OP-Z-C	12.100	2.49384	2.41500	4.92700	6.68700
R6-OP-Z-B	9.016	3.31757	3.18300	6.68700	8.89500
R6-OP-Z-A	1.699	18.00291	15.80700	48.12700	57.34300
R6-P1-U-C	0.566	0.20994	0.18300	0.56700	0.91900
R6-P1-U-B	0.563	0.21117	0.18300	0.58300	1.07100
R6-P1-U-A	0.566	0.21053	0.18300	0.59100	1.05500
R6-P1-Z-C	0.570	0.20857	0.18300	0.56700	0.92700
R6-P1-Z-B	0.567	0.20964	0.19100	0.55900	0.87900
R6-P1-Z-A	0.563	0.21147	0.18300	0.59100	0.96700
R6-P8-U-C	3.345	0.27567	0.21500	1.04700	1.71900
R6-P8-U-B	3.249	0.28446	0.22300	1.06300	1.75900
R6-P8-U-A	3.034	0.30819	0.23900	1.19900	2.06300
