cell	ops_M	avg_ms	p50_ms	p99_ms	p999_ms
BD2-MIX-P64	8.588	0.85520	0.81500	2.33500	4.86300
BD2-MIX-P128	10.357	1.44036	1.43100	2.38300	5.43900
BD2-MIX-P256	10.843	2.79272	2.70300	4.79900	8.03100
BD2-MIX-P384	10.169	4.48675	4.22300	9.85500	13.31100
V16-W1	14.503	2.03292	1.97500	3.63100	6.81500
V16-W2	11.616	2.56907	2.51100	4.41500	7.64700
V16-W3	6.132	4.92965	4.92700	7.64700	11.71100
V32-W1	14.226	2.09209	2.04700	3.67900	6.75100
V32-W2	11.463	2.62228	2.57500	4.51100	7.74300
V32-W3	6.104	4.95319	4.95900	7.77500	11.77500
V-A-B3-W1	11.001	2.74578	2.59100	6.04700	8.95900
V-A-B3-W2	9.532	3.18613	2.97500	7.19900	10.75100
V-A-B20-W1	11.063	2.72948	2.59100	5.79100	8.76700
V-A-B20-W2	9.606	3.16132	2.95900	6.94300	9.98300
PT-C-P1	0.571	0.20806	0.18300	0.55100	0.91100
PT-C-P8	3.485	0.26547	0.21500	1.01500	1.67900
PT-C-P32	8.083	0.44602	0.37500	1.51900	2.44700
PT-C-P64	10.155	0.71297	0.66300	2.28700	4.38300
PT-C-P128	12.932	1.14010	1.09500	2.67100	5.47100
PT-C-P256	13.827	2.17081	2.14300	4.01500	7.19900
PT-C-P384	14.014	3.23869	3.16700	5.82300	10.30300
PT-B-P1	0.573	0.20726	0.18300	0.55100	0.87900
PT-B-P8	3.434	0.26975	0.21500	1.03100	1.63900
PT-B-P32	7.459	0.48743	0.41500	1.63900	2.62300
PT-B-P64	9.430	0.78106	0.73500	2.28700	4.79900
PT-B-P128	11.580	1.28263	1.27100	2.22300	5.47100
PT-B-P256	12.357	2.44057	2.43100	4.01500	7.23100
PT-B-P384	12.497	3.64091	3.58300	6.43100	10.62300
PT-A-P1	0.572	0.20816	0.18300	0.57500	0.91900
PT-A-P8	3.042	0.30866	0.23900	1.23900	2.14300
PT-A-P32	5.597	0.66429	0.57500	2.12700	3.42300
PT-A-P64	7.014	1.05428	0.99100	3.29500	5.05500
PT-A-P128	7.303	2.05966	2.03900	3.58300	6.27100
PT-A-P256	7.247	4.18758	4.04700	9.53500	12.15900
PT-A-P384	7.293	6.26157	6.11100	14.39900	17.91900
PT-C-Z256	12.775	2.35604	2.28700	4.70300	6.36700
PT-B-Z256	9.381	3.23353	3.15100	6.14300	8.15900
PT-A-Z256	1.734	17.63270	15.55100	47.10300	55.80700
ST-C-P1	0.611	0.19418	0.17500	0.48700	0.78300
ST-C-P8	4.020	0.22775	0.19100	0.68700	1.15100
ST-C-P32	9.874	0.35445	0.27900	1.18300	1.93500
ST-C-P64	11.497	0.62211	0.51900	2.23900	3.71100
V64-W1	13.048	2.30730	2.23900	4.12700	7.26300
V64-W2	10.767	2.81235	2.73500	4.89500	8.31900
V64-W3	5.689	5.34070	4.41500	9.40700	14.33500
V152-W1	11.438	2.65582	2.57500	4.83100	8.76700
V152-W2	9.731	3.13056	2.92700	6.07900	9.66300
V152-W3	5.338	5.72366	6.07900	8.51100	12.92700
