ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret
1785575997.380740199,0,0,0,0,0,0,0,0,0,0,0,0,417579265,377146746,0,0,0,0,0,0,0,0,0
1785575998.403016895,0,0,0,0,0,0,0,0,0,0,0,0,417582330,377149775,0,0,0,0,0,0,0,0,0
1785575999.423314548,0,0,0,0,0,0,0,0,0,0,0,0,417585391,377152772,0,0,0,0,0,0,0,0,0
1785576000.445580939,0,0,0,0,0,0,0,0,0,0,0,0,417588455,377155821,0,0,0,0,0,0,0,0,0
1785576001.466876012,0,0,0,0,0,0,0,0,0,0,0,0,417591518,377158813,0,0,0,0,0,0,0,0,0
1785576002.489508131,0,0,0,0,0,0,0,0,0,0,0,0,417594584,377161827,0,0,0,0,0,0,0,0,0
1785576003.511762246,0,0,0,0,0,0,0,0,0,0,0,0,417597649,377164877,0,0,0,0,0,0,0,0,0
1785576004.534093595,0,0,0,0,0,0,0,0,0,0,0,0,417600712,377167894,0,0,0,0,0,0,0,0,0
1785576005.556173611,0,0,0,0,0,0,0,0,0,0,0,0,417603780,377170910,0,0,0,0,0,0,0,0,0
1785576006.578905890,0,0,0,0,0,0,0,0,0,0,0,0,417606846,377173962,0,0,0,0,0,0,0,0,0
1785576007.599917349,0,0,0,0,0,0,0,0,0,0,0,0,417609908,377176959,0,0,0,0,0,0,0,0,0
1785576008.622892600,0,0,0,0,0,0,0,0,0,0,0,0,417612973,377179992,0,0,0,0,0,0,0,0,0
1785576009.644876046,0,0,0,0,0,0,0,0,0,0,0,0,417616038,377183042,0,0,0,0,0,0,0,0,0
1785576010.666896556,0,0,0,0,0,0,0,0,0,0,0,0,417619104,377186042,0,0,0,0,0,0,0,0,0
1785576011.688521315,0,0,0,0,0,0,0,0,0,0,0,0,417622167,377189049,0,0,0,0,0,0,0,0,0
1785576012.710465005,0,0,0,0,0,0,0,0,0,0,0,0,417625232,377192098,0,0,0,0,0,0,0,0,0
1785576013.731913193,0,0,0,0,0,0,0,0,0,0,0,0,417628293,377195077,0,0,0,0,0,0,0,0,0
1785576014.754048483,0,0,0,0,0,0,0,0,0,0,0,0,417631358,377198128,0,0,0,0,0,0,0,0,0
1785576015.776437025,0,0,0,0,0,0,0,0,0,0,0,0,417634425,377201179,0,0,0,0,0,0,0,0,0
1785576016.796360481,0,0,0,0,0,0,0,0,0,0,0,0,417637484,377204154,0,0,0,0,0,0,0,0,0
1785576017.817973043,0,0,0,0,0,0,0,0,0,0,0,0,417640549,377207203,0,0,0,0,0,0,0,0,0
1785576018.839941180,0,0,0,0,0,0,0,0,0,0,0,0,417643613,377210246,0,0,0,0,0,0,0,0,0
1785576019.862489140,0,0,0,0,0,0,0,0,0,0,0,0,417646678,377213236,0,0,0,0,0,0,0,0,0
1785576020.885146043,0,0,0,0,0,0,0,0,0,0,0,0,417649745,377216287,0,0,0,0,0,0,0,0,0
1785576021.907321056,0,0,0,0,0,0,0,0,0,0,0,0,417652809,377219305,0,0,0,0,0,0,0,0,0
1785576022.930110576,0,0,0,0,0,0,0,0,0,0,0,0,417655875,377222295,0,0,0,0,0,0,0,0,0
1785576023.953290518,0,0,0,0,0,0,0,0,0,0,0,0,417658942,377225347,0,0,0,0,0,0,0,0,0
1785576024.975167680,0,0,0,0,0,0,0,0,0,0,0,0,417662010,377228365,0,0,0,0,0,0,0,0,0
1785576025.997498933,0,0,0,0,0,0,0,0,0,0,0,0,417665074,377231372,0,0,0,0,0,0,0,0,0
