ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret,waitenq,yields
1785578698.302658148,270150925,30016827,261150265,9000660,261346468,26227,66300,30016827,15930,47000,65401,9000660,425671630,383642743,261150265,311752,809600,30016827,16985,51200,285515,842,212,1240906792,0
1785578699.324503173,270150925,30016827,261150265,9000660,261346468,26227,66300,30016827,15930,47000,65401,9000660,425674697,383645758,261150265,311752,809600,30016827,16985,51200,285515,842,212,1240906792,0
1785578700.343358769,271413209,30016827,262412549,9000660,262611162,26244,66500,30016827,15930,47000,65401,9000660,425677730,383648325,262426328,311026,809100,30016827,16985,51200,284775,842,212,1243489353,0
1785578701.361477678,281186892,30016827,272186232,9000660,272384525,26065,66300,30016827,15930,47000,65401,9000660,425680618,383648931,272199518,303942,803800,30016827,16985,51200,277870,842,212,1264117604,0
1785578702.378971799,291035408,30016827,282034748,9000660,282232730,25897,66000,30016827,15930,47000,65401,9000660,425683519,383649521,282046889,297309,798800,30016827,16985,51200,271405,842,212,1285062383,0
1785578703.394682802,300965453,30016827,291964793,9000660,292163047,25744,65800,30016827,15930,47000,65401,9000660,425686413,383650065,291977240,291103,794000,30016827,16985,51200,265352,842,212,1306257553,0
1785578704.411815962,310947412,30016827,301946752,9000660,302144969,25594,65600,30016827,15930,47000,65401,9000660,425689309,383650658,301959438,285229,789300,30016827,16985,51200,259628,842,212,1327521991,0
1785578705.429112396,320762189,30016827,311761529,9000660,311960316,25460,65400,30016827,15930,47000,65401,9000660,425692211,383651209,311776008,279880,785100,30016827,16985,51200,254414,842,212,1348530958,0
1785578706.444463499,330461372,30016827,321460712,9000660,321659732,25339,65200,30016827,15930,47000,65401,9000660,425695112,383651794,321476377,274940,781100,30016827,16985,51200,249596,842,212,1369321211,0
1785578707.461460564,340527792,30016827,331527132,9000660,331725952,25212,65000,30016827,15930,47000,65401,9000660,425698011,383652369,331540951,270032,777100,30016827,16985,51200,244817,842,212,1390834173,0
1785578708.480761817,350483510,30016827,341482850,9000660,341681465,25101,64800,30016827,15930,47000,65401,9000660,425700921,383652928,341495529,265526,773600,30016827,16985,51200,240419,842,212,1412070916,0
1785578709.495538939,360345890,30016827,351345230,9000660,351543242,24996,64700,30016827,15930,47000,65401,9000660,425703814,383653513,351359377,261290,770100,30016827,16985,51200,236289,842,212,1433177219,0
1785578710.512739218,370448329,30016827,361447669,9000660,361646849,24888,64500,30016827,15930,47000,65401,9000660,425706706,383654085,361462714,257143,766600,30016827,16985,51200,232250,842,212,1454746981,0
1785578711.528825004,380357174,30016827,371356514,9000660,371554920,24794,64300,30016827,15930,47000,65401,9000660,425709598,383654652,371369852,253343,763400,30016827,16985,51200,228545,842,212,1475964161,0
1785578712.546032114,390307257,30016827,381306597,9000660,381505122,24702,64200,30016827,15930,47000,65401,9000660,425712492,383655233,381327352,249716,760200,30016827,16985,51200,225009,842,212,1497243799,0
1785578713.563326865,400236952,30016827,391236292,9000660,391434769,24615,64000,30016827,15930,47000,65401,9000660,425715384,383655838,391249514,246275,757200,30016827,16985,51200,221655,842,212,1518512388,0
